DataSet,WorkLoad,Iteration,GraphType,TimeInMillis
wiki-Vote-part4.txt,Load,1,AL-Array,63
wiki-Vote-part4.txt,Load,1,AL-Map,54
wiki-Vote-part4.txt,Load,1,AL-Tree,419
wiki-Vote-part4.txt,Load,1,CSR-Array,26
wiki-Vote-part4.txt,Load,1,CSR-Map,230
wiki-Vote-part4.txt,Load,1,CSR-Tree,189
wiki-Vote-part4.txt,Edges,1,AL-Array,1
wiki-Vote-part4.txt,Edges,1,AL-Map,2
wiki-Vote-part4.txt,Edges,1,AL-Tree,0
wiki-Vote-part4.txt,Edges,1,CSR-Array,7
wiki-Vote-part4.txt,Edges,1,CSR-Map,2
wiki-Vote-part4.txt,Edges,1,CSR-Tree,1
wiki-Vote-part4.txt,BFS,1,AL-Array,46
wiki-Vote-part4.txt,BFS,1,AL-Map,161
wiki-Vote-part4.txt,BFS,1,AL-Tree,55
wiki-Vote-part4.txt,BFS,1,CSR-Array,5768
wiki-Vote-part4.txt,BFS,1,CSR-Map,10
wiki-Vote-part4.txt,BFS,1,CSR-Tree,29
wiki-Vote-part4.txt,DFS,1,AL-Array,39
wiki-Vote-part4.txt,DFS,1,AL-Map,48
wiki-Vote-part4.txt,DFS,1,AL-Tree,21
wiki-Vote-part4.txt,DFS,1,CSR-Array,1380
wiki-Vote-part4.txt,DFS,1,CSR-Map,10
wiki-Vote-part4.txt,DFS,1,CSR-Tree,14
cit-HepTh.txt,Load,1,AL-Array,379
cit-HepTh.txt,Load,1,AL-Map,257
cit-HepTh.txt,Load,1,AL-Tree,2927
cit-HepTh.txt,Load,1,CSR-Array,210
cit-HepTh.txt,Load,1,CSR-Map,888
cit-HepTh.txt,Load,1,CSR-Tree,1951
cit-HepTh.txt,Edges,1,AL-Array,0
cit-HepTh.txt,Edges,1,AL-Map,2
cit-HepTh.txt,Edges,1,AL-Tree,1
cit-HepTh.txt,Edges,1,CSR-Array,125
cit-HepTh.txt,Edges,1,CSR-Map,0
cit-HepTh.txt,Edges,1,CSR-Tree,0
cit-HepTh.txt,BFS,1,AL-Array,435
cit-HepTh.txt,BFS,1,AL-Map,9951
cit-HepTh.txt,BFS,1,AL-Tree,63
cit-HepTh.txt,BFS,1,CSR-Array,0
cit-HepTh.txt,BFS,1,CSR-Map,13
cit-HepTh.txt,BFS,1,CSR-Tree,78
cit-HepTh.txt,DFS,1,AL-Array,426
cit-HepTh.txt,DFS,1,AL-Map,2063
cit-HepTh.txt,DFS,1,AL-Tree,26
cit-HepTh.txt,DFS,1,CSR-Array,249658
cit-HepTh.txt,DFS,1,CSR-Map,15
cit-HepTh.txt,DFS,1,CSR-Tree,38
